Heure;NB_vols;Retard moyen (minutes);Retard total (minutes);Nb_vols_en_retard;Nb_conflits_parking;Nb_creneaux_rates;NB_Departs;NB_Arrivees;Piste_26R;Piste_27L;Piste_26L;Piste_27R;Retard_opt_26R;Retard_opt_27L;Retard_opt_cumule;Retard_total_opt
00;1;0,00;0,00;0;0;0;1;0;0;1;0;0;0,00;0,00;0,00;0,00
01;19;16,96;237,50;14;0;0;15;4;0;15;0;4;0,00;12,46;12,46;174,38
02;14;39,45;473,42;12;0;0;12;2;0;12;0;2;0,00;4,83;4,83;58,00
03;25;0,00;0,00;0;0;0;1;24;1;0;18;6;0,00;0,00;0,00;0,00
04;29;1,00;1,00;1;0;0;6;23;4;2;15;8;0,25;0,00;0,25;0,25
05;87;12,80;589,00;46;1;0;51;36;30;21;22;14;15,88;5,36;21,24;977,06
06;85;20,34;610,08;30;3;0;30;55;15;15;31;24;1,24;1,78;3,03;90,83
07;92;10,64;340,50;32;0;0;34;58;16;18;32;26;3,09;2,81;5,90;188,78
08;116;36,18;2604,92;72;4;0;72;44;35;37;21;23;21,94;23,48;45,42;3270,25
09;106;86,48;4583,42;53;4;0;53;53;29;24;32;21;18,76;13,78;32,54;1724,58
10;85;102,80;4728,83;46;2;0;46;39;20;26;22;17;5,58;18,51;24,09;1108,28
11;89;130,18;7940,75;61;1;0;61;28;35;26;15;13;24,12;9,41;33,53;2045,48
12;102;166,82;8174,00;49;4;0;49;53;22;27;31;22;10,30;17,82;28,12;1377,74
13;72;156,82;5174,92;33;7;0;33;39;20;13;21;18;6,68;1,13;7,81;257,85
14;91;180,11;11347,00;63;0;0;63;28;32;31;20;8;22,17;15,50;37,67;2373,33
15;79;194,19;4078,08;21;6;0;21;58;13;8;34;24;0,78;0,09;0,88;18,39
16;79;186,24;7449,50;40;10;0;40;39;28;12;21;18;12,97;0,74;13,71;548,37
17;113;185,37;10195,25;55;3;0;55;58;25;30;33;25;11,70;13,84;25,53;1404,30
18;86;209,38;10468,75;50;4;0;50;36;22;28;21;15;5,36;12,18;17,53;876,58
19;85;237,91;11419,50;48;3;0;48;37;27;21;24;13;15,94;8,12;24,05;1154,60
20;44;229,54;3902,25;17;6;0;17;27;7;10;19;8;0,15;3,43;3,59;61,00
21;42;191,40;2296,75;12;1;0;12;30;9;3;26;4;6,60;0,81;7,41;88,89
22;11;115,62;693,75;6;0;0;6;5;1;5;3;2;0,00;1,85;1,85;11,10
23;21;134,21;2549,92;19;0;0;19;2;18;1;1;1;6,98;0,00;6,98;132,65
