Heure,NB_vols,Retard moyen (minutes),Retard total (minutes),Nb_conflits_parking,Nb_creneaux_rates,NB_Departs,NB_Arrivees,Piste_26R,Piste_27L,Piste_26L,Piste_27R
00,1,0.00,0,42,0,1,0,0,1,0,0
01,19,4.65,69,0,0,15,4,0,15,0,4
02,14,3.55,42,0,0,12,2,0,12,0,2
03,25,0.00,0,0,0,1,24,1,0,18,6
04,29,0.00,0,0,0,6,23,4,2,15,8
05,87,0.60,30,4,0,51,36,30,21,22,14
06,85,0.18,5,1,0,30,55,15,15,31,24
07,92,0.40,13,3,0,34,58,16,18,32,26
08,116,0.74,53,4,0,72,44,35,37,21,23
09,106,1.51,80,7,0,53,53,29,24,32,21
10,85,1.42,65,0,0,46,39,20,26,22,17
11,89,0.69,41,3,0,61,28,35,26,15,13
12,102,0.93,45,3,0,49,53,22,27,31,22
13,72,0.19,6,0,0,33,39,20,13,21,18
14,91,0.92,57,4,0,63,28,32,31,20,8
15,79,0.09,1,3,0,21,58,13,8,34,24
16,79,0.22,8,2,0,40,39,28,12,21,18
17,113,0.45,24,5,0,55,58,25,30,33,25
18,86,1.01,50,3,0,50,36,22,28,21,15
19,85,0.63,30,1,0,48,37,27,21,24,13
20,44,0.31,5,1,0,17,27,7,10,19,8
21,42,1.08,13,1,0,12,30,9,3,26,4
22,11,0.32,1,0,0,6,5,1,5,3,2
23,21,0.40,7,0,0,19,2,18,1,1,1
